course,quarter,quarter_label,enrolled,available,waitlisted,total,time,utilization_rate,waitlist_rate,available_rate
DSC_90,fa24,Fall 2024,7,13,0,20,2024-11-24T22:03:57,35.0,0.0,65.0
DSC_96,wi25,Winter 2025,32,8,0,40,2025-01-31T12:41:54,80.0,0.0,20.0
DSC_102,fa24,Fall 2024,71,33,0,104,2024-11-24T22:04:00,68.27,0.0,31.73
DSC_102,sp25,Spring 2025,251,49,0,300,2025-05-15T03:50:58,83.67,0.0,16.33
DSC_148,wi25,Winter 2025,110,15,0,125,2025-01-31T12:41:59,88.0,0.0,12.0
DSC_161,sp25,Spring 2025,28,12,0,40,2025-05-15T03:51:02,70.0,0.0,30.0
DSC_170,wi25,Winter 2025,33,17,0,50,2025-01-31T12:42:00,66.0,0.0,34.0
DSC_180A,fa24,Fall 2024,231,3,0,234,2024-11-24T22:04:01,98.72,0.0,1.28
DSC_180B,wi25,Winter 2025,231,4,0,235,2025-01-31T12:42:01,98.3,0.0,1.7
