course,course_number,quarter,quarter_label,quarter_numeric,enrolled,available,waitlisted,total_capacity,division,is_upper_division,is_lower_division,is_required,is_elective,requirement_type,utilization_rate,waitlist_rate,available_rate,demand_pressure,is_oversubscribed,has_waitlist,quarters_offered,is_every_quarter,is_fall,is_winter,is_spring
DSC_20,20,sp25,Spring 2025,3,107,13,0,120,lower_division,0,1,1,0,Required,89.17,0.0,10.83,89.16666666666667,0,0,3,1,0,0,1
DSC_40A,40,sp25,Spring 2025,3,133,13,0,146,lower_division,0,1,1,0,Required,91.1,0.0,8.9,91.0958904109589,0,0,3,1,0,0,1
DSC_30,30,sp25,Spring 2025,3,254,126,0,380,lower_division,0,1,1,0,Required,66.84,0.0,33.16,66.84210526315789,0,0,3,1,0,0,1
DSC_40B,40,sp25,Spring 2025,3,117,63,0,180,lower_division,0,1,1,0,Required,65.0,0.0,35.0,65.0,0,0,3,1,0,0,1
DSC_10,10,sp25,Spring 2025,3,108,42,0,150,lower_division,0,1,1,0,Required,72.0,0.0,28.0,72.0,0,0,3,1,0,0,1
DSC_106,106,sp25,Spring 2025,3,177,23,0,200,upper_division,1,0,1,0,Required,88.5,0.0,11.5,88.5,0,0,3,1,0,0,1
DSC_100,100,sp25,Spring 2025,3,135,11,0,146,upper_division,1,0,1,0,Required,92.47,0.0,7.53,92.46575342465754,0,0,3,1,0,0,1
DSC_102,102,sp25,Spring 2025,3,251,49,0,300,upper_division,1,0,1,0,Required,83.67,0.0,16.33,83.66666666666667,0,0,2,0,0,0,1
DSC_161,161,sp25,Spring 2025,3,28,12,0,40,upper_division,1,0,0,1,Elective,70.0,0.0,30.0,70.0,0,0,1,0,0,0,1
DSC_190,190,sp25,Spring 2025,3,96,31,0,127,upper_division,1,0,1,0,Required,75.59,0.0,24.41,75.59055118110236,0,0,3,1,0,0,1
DSC_140A,140,sp25,Spring 2025,3,81,69,0,150,upper_division,1,0,0,1,Elective,54.0,0.0,46.0,54.0,0,0,3,1,0,0,1
DSC_140B,140,sp25,Spring 2025,3,123,3,10,126,upper_division,1,0,0,1,Elective,97.62,7.94,2.38,105.55555555555556,1,1,3,1,0,0,1
