Feature,Abs_Std_Coefficient,Importance_Mean,Abs_Correlation,Abs_Std_Coefficient_norm,Importance_Mean_norm,Abs_Correlation_norm,Average_Importance
is_required,9.111440080332597,0.6038517152990303,0.41359758365108124,1.0,1.0,1.0,1.0
waitlisted,6.043771841565523,0.28154670934991505,0.3299085509329721,0.6633168619098141,0.466251402814169,0.7976558954253689,0.6424080533831172
total_capacity,1.973320492723837,0.026304711886607803,0.31391835269242996,0.21657613673861797,0.04356154204775519,0.7589946486661717,0.339710775817515
is_upper_division,3.556739826497474,0.01622580786676641,0.19733185940710546,0.390359788917982,0.0268705171413338,0.47711076468371816,0.298113690247678
quarters_offered,2.5803779580642976,0.06695575961464668,0.0213373839254739,0.2832019895114215,0.11088112845964157,0.051589720948356704,0.14855761297313994
course_number,1.1978689362148318,0.028157866438945807,0.03576950889106763,0.1314686729708599,0.04663043215005508,0.08648384397052827,0.08819431636381442
is_fall,1.295656978454145,-0.017902954689091397,0.055482409899045654,0.14220111936540872,-0.029647932158685296,0.1341458753440196,0.08223302085024767
is_winter,0.31689944000318154,0.011948642235147244,0.01785254180124644,0.034780390060098344,0.01978737814668659,0.04316403796088708,0.03257726872255734
