predictor,coefficient,std_error,t_stat,p_value,r_squared
demand_pressure,0.9682761116603861,0.01171884555961574,82.62555443150117,5.116934133077275e-49,0.9937408862984197
is_required,17.182903225806452,5.768263566908105,2.9788692951519904,0.004741497930896363,0.17106296120201336
waitlisted,2.560657873572461,1.117382033431762,2.291658355833801,0.026884623815212432,0.1088396519786935
total_capacity,0.06365456919128855,0.029359640886917355,2.1680976765507034,0.03573073212422047,0.09854473215712922
is_upper_division,7.592509881422923,5.752136876631733,1.319945968648238,0.19383709935865864,0.038939862737065956
course_number,0.012470260270096128,0.05313128309521781,0.23470655221609998,0.8155505692558643,0.001279457766308334
is_every_quarter,1.1338888888888905,7.33053872393159,0.15468015811541222,0.877797238561602,0.0005561080442008093
quarters_offered,0.558336380255938,3.9895291360240104,0.13995044558375616,0.8893526338935722,0.0004552839527832697
