Course,Term,Enroll #,Evals Made,Recommend Class,Recommend Instructor,Study Hours (hrs/wk),Avg Grade Expected/Received,Difficulty Score,Difficulty
DSC 40B - Theor Fndtns of Data Sci II (A),WI20,57,18,100.0,100.0,6.06,B+ (3.61) / B- (2.94),31.58,Easy
DSC 40B - Theor Fndtns of Data Sci II (B),WI20,37,12,80.0,90.0,5.1,B (3.25) / B (3.01),20.1,Easy
DSC 80 - Practice of Data Science (A),WI20,96,29,88.5,80.8,13.58,B (3.27) / B- (2.90),48.14000000000001,Moderate
DSC 90 - Seminar in Data Science (A),WI20,11,4,100.0,100.0,1.0,A (4.00) / N/A,43.0,Moderate
DSC 95 - Tutor Appshp in Data Science (A),WI20,9,7,100.0,100.0,1.07,N/A / N/A,43.21,Moderate
DSC 96 - Workshop in Data Science (A),WI20,19,12,100.0,100.0,1.83,B+ (3.33) / N/A,45.49,Moderate
DSC 96 - Workshop in Data Science (B),WI20,18,13,100.0,100.0,1.73,A (4.00) / N/A,45.19,Moderate
DSC 10 - Principles of Data Science (A),FA19,120,72,89.7,82.4,7.31,B+ (3.33) / B- (2.94),29.73,Easy
DSC 10 - Principles of Data Science (B),FA19,113,65,95.0,88.1,7.85,B+ (3.37) / B- (2.91),32.74999999999999,Easy
DSC 100 - Intro to Data Management (A),FA19,144,39,81.6,78.9,6.08,B+ (3.44) / A- (3.71),26.34,Easy
DSC 106 - Intro to Data Visualization (A),FA19,118,40,52.5,52.5,10.9,B (3.21) / B (3.14),34.1,Easy
DSC 20 - Prgrmng/DataStruc for Data Sci (A),FA19,111,56,86.8,78.4,11.5,B (3.17) / B- (2.98),38.29999999999999,Easy
DSC 30 - DataStrc/Algrthms for Data Sci (A),FA19,130,57,84.6,82.4,14.19,B- (2.92) / C+ (2.69),47.17,Moderate
DSC 40A - Theor Fndtns of Data Sci I (A),FA19,114,53,84.0,92.0,7.66,B (3.06) / B- (2.80),28.18,Easy
DSC 40B - Theor Fndtns of Data Sci II (A),FA19,52,17,100.0,100.0,8.26,B+ (3.44) / B- (2.83),36.98,Easy
DSC 80 - Practice of Data Science (A),FA19,127,39,94.3,100.0,13.64,B+ (3.40) / B (3.01),48.720000000000006,Moderate
DSC 95 - Tutor Appshp in Data Science (A),FA19,22,16,100.0,100.0,1.0,A (4.00) / N/A,43.0,Moderate
DSC 96 - Workshop in Data Science (A),FA19,14,9,100.0,100.0,0.72,A (4.00) / N/A,42.16,Moderate
DSC 96 - Workshop in Data Science (B),FA19,12,6,83.3,100.0,1.17,A (4.00) / N/A,43.51,Moderate
DSC 10 - Principles of Data Science (A),S219,51,10,88.9,100.0,10.94,A- (3.70) / B- (2.86),49.620000000000005,Moderate
DSC 40B - Theor Fndtns of Data Sci II (A),S119,33,10,100.0,100.0,6.9,B+ (3.30) / B (3.09),24.9,Easy
DSC 10 - Principles of Data Science (A),SP19,103,46,88.6,79.5,7.68,B+ (3.50) / B- (2.96),33.84,Easy
DSC 10 - Principles of Data Science (B),SP19,79,37,96.9,93.8,8.25,B+ (3.53) / B- (2.96),36.15,Easy
DSC 170 - Spatial Data Science and Appl (A),SP19,51,14,100.0,100.0,11.17,B+ (3.56) / B+ (3.66),36.51,Easy
DSC 20 - Prgrmng/DataStruc for Data Sci (A),SP19,152,59,88.9,85.2,9.02,B (3.20) / B- (2.80),35.06,Easy
DSC 30 - DataStrc/Algrthms for Data Sci (A),SP19,224,86,72.2,78.7,15.01,B (3.16) / C+ (2.66),55.03,Moderate
DSC 40A - Theor Fndtns of Data Sci I (A),SP19,73,37,85.3,84.8,8.85,B (3.24) / B- (2.89),33.550000000000004,Easy
DSC 40B - Theor Fndtns of Data Sci II (A),SP19,86,26,88.5,92.3,6.27,B (3.04) / B (3.26),25.409999999999997,Easy
DSC 40B - Theor Fndtns of Data Sci II (B),SP19,23,7,83.3,100.0,6.17,B+ (3.33) / B (3.26),19.910000000000007,Very Easy
DSC 80 - Practice of Data Science (A),SP19,37,10,70.0,100.0,15.5,B+ (3.40) / B (3.08),52.9,Moderate
DSC 80 - Practice of Data Science (B),SP19,49,17,70.6,88.2,14.38,B- (2.71) / B- (2.74),44.040000000000006,Moderate
DSC 96 - Workshop in Data Science (A),SP19,25,13,100.0,100.0,0.65,B (3.00) / N/A,41.95,Moderate
DSC 10 - Principles of Data Science (A),WI19,164,77,97.0,95.5,6.98,B+ (3.66) / B (3.27),28.74000000000001,Easy
DSC 20 - Prgrmng/DataStruc for Data Sci (A),WI19,181,81,94.8,87.0,9.23,B+ (3.34) / B- (2.95),35.489999999999995,Easy
DSC 40A - Theor Fndtns of Data Sci I (A),WI19,64,28,92.0,96.0,8.17,B (3.09) / B- (2.81),30.109999999999992,Easy
DSC 40A - Theor Fndtns of Data Sci I (B),WI19,49,28,89.3,96.4,7.5,B+ (3.36) / B- (2.81),33.5,Easy
DSC 40B - Theor Fndtns of Data Sci II (A),WI19,82,31,64.0,84.0,7.46,B- (2.96) / B (3.12),27.180000000000003,Easy
DSC 80 - Practice of Data Science (A),WI19,24,6,83.3,83.3,13.83,C+ (2.67) / B- (2.98),50.790000000000006,Moderate
DSC 80 - Practice of Data Science (B),WI19,82,31,96.8,96.8,13.79,B+ (3.48) / B- (2.99),51.17,Moderate
DSC 95 - Tutor Appshp in Data Science (A),WI19,17,6,100.0,100.0,1.3,N/A / N/A,43.9,Moderate
DSC 96 - Workshop in Data Science (A),WI19,13,7,80.0,80.0,2.1,A (4.00) / N/A,46.3,Moderate
DSC 96 - Workshop in Data Science (C),WI19,7,5,100.0,100.0,2.9,A (4.00) / N/A,48.7,Moderate
DSC 10 - Principles of Data Science (A),FA18,140,61,98.3,98.3,7.75,B+ (3.48) / B- (2.94),34.05,Easy
DSC 10 - Principles of Data Science (B),FA18,143,54,96.0,97.9,7.34,B+ (3.40) / B- (2.91),31.82,Easy
DSC 20 - Intro to Data Structures (A),FA18,78,22,95.5,77.3,11.23,B+ (3.41) / B- (2.83),45.29,Moderate
DSC 30 - Representations of Data (A),FA18,73,39,86.8,89.2,14.29,B (3.11) / C+ (2.69),51.26999999999999,Moderate
DSC 30 - Representations of Data (B),FA18,15,3,66.7,66.7,14.5,B (3.00) / N/A,83.5,Very Difficult
DSC 40A - Theor Fndtns of Data Sci I (A),FA18,64,36,91.2,100.0,7.53,B (3.29) / B- (2.91),30.19,Easy
DSC 40A - Theor Fndtns of Data Sci I (C),FA18,30,14,100.0,100.0,8.79,B (3.29) / B- (2.91),33.97,Easy
DSC 40B - Theor Fndtns of Data Sci II (A),FA18,24,15,93.3,100.0,7.57,B- (2.79) / C+ (2.59),26.710000000000004,Easy
DSC 10 - Principles of Data Science (A),SP18,117,45,93.2,90.9,6.87,B+ (3.62) / B- (2.90),35.010000000000005,Easy
DSC 20 - Intro to Data Structures (A),SP18,55,22,85.0,90.0,9.45,B+ (3.62) / B- (2.81),44.55,Moderate
DSC 20 - Intro to Data Structures (B),SP18,67,32,92.9,92.9,11.61,B+ (3.43) / B- (2.81),47.23,Moderate
DSC 30 - Representations of Data (A),SP18,60,25,91.3,95.7,12.24,B+ (3.35) / B- (2.88),46.120000000000005,Moderate
DSC 10 - Introduction to Programming (C),WI18,53,25,95.7,95.7,6.24,B+ (3.59) / B (3.18),26.919999999999995,Easy
DSC 10 - Introduction to Programming (D),WI18,112,49,95.7,93.6,7.27,B+ (3.59) / B (3.18),30.00999999999999,Easy
DSC 20 - Intro to Data Structures (B),WI18,81,38,97.2,97.1,9.89,B+ (3.43) / B (3.29),32.470000000000006,Easy
DSC 10 - Introduction to Programming (A),FA17,37,19,94.7,100.0,8.18,B (3.29) / B- (2.87),32.94,Easy
DSC 10 - Introduction to Programming (B),FA17,37,17,93.8,100.0,6.63,B+ (3.44) / B (3.06),27.489999999999995,Easy
DSC 10 - Introduction to Programming (C),FA17,39,15,100.0,100.0,8.5,B (3.29) / B- (2.87),33.9,Easy
