time,enrolled,available,waitlisted,total
2025-02-04T18:41:03,0,290,0,290
2025-02-04T19:11:51,0,290,0,290
2025-02-04T19:42:38,0,290,0,290
2025-02-04T20:13:24,0,290,0,290
2025-02-04T20:44:20,0,290,0,290
2025-02-04T21:15:06,0,290,0,290
2025-02-04T21:46:00,0,290,0,290
2025-02-04T22:16:46,0,290,0,290
2025-02-04T22:47:31,0,290,0,290
2025-02-04T23:18:27,0,290,0,290
2025-02-04T23:49:13,0,290,0,290
2025-02-05T00:20:04,0,290,0,290
2025-02-05T00:50:56,0,290,0,290
2025-02-05T01:21:46,0,290,0,290
2025-02-05T01:52:42,0,290,0,290
2025-02-05T02:23:35,0,290,0,290
2025-02-05T02:54:24,0,290,0,290
2025-02-05T03:25:15,0,290,0,290
2025-02-05T03:56:11,0,290,0,290
2025-02-05T04:26:18,0,290,0,290
2025-02-05T04:57:12,0,290,0,290
2025-02-05T05:28:06,0,290,0,290
2025-02-05T05:58:58,0,290,0,290
2025-02-05T06:29:48,0,290,0,290
2025-02-05T07:00:37,0,290,0,290
2025-02-05T07:31:29,0,290,0,290
2025-02-05T08:02:16,0,290,0,290
2025-02-05T08:33:18,0,290,0,290
2025-02-05T09:04:14,0,290,0,290
2025-02-05T09:35:05,0,290,0,290
2025-02-05T10:05:52,0,290,0,290
2025-02-05T10:36:41,0,290,0,290
2025-02-05T11:07:30,0,290,0,290
2025-02-05T11:38:42,0,290,0,290
2025-02-05T12:09:29,0,290,0,290
2025-02-05T12:40:28,0,290,0,290
2025-02-05T13:11:16,0,290,0,290
2025-02-05T13:42:04,0,290,0,290
2025-02-05T14:13:03,0,290,0,290
2025-02-05T14:43:51,0,290,0,290
2025-02-05T15:14:48,0,290,0,290
2025-02-05T15:45:37,0,290,0,290
2025-02-05T16:16:25,0,290,0,290
2025-02-05T16:47:13,0,290,0,290
2025-02-05T17:18:11,0,290,0,290
2025-02-05T17:48:58,0,290,0,290
2025-02-05T18:19:44,0,290,0,290
2025-02-05T18:50:35,0,290,0,290
2025-02-05T19:21:22,0,290,0,290
2025-02-05T19:52:09,0,290,0,290
2025-02-05T20:22:55,0,290,0,290
2025-02-05T20:53:43,0,290,0,290
2025-02-05T21:24:31,0,290,0,290
2025-02-05T21:55:21,0,290,0,290
2025-02-05T22:26:32,0,290,0,290
2025-02-05T22:57:30,0,290,0,290
2025-02-05T23:28:19,0,290,0,290
2025-02-05T23:59:06,0,290,0,290
2025-02-06T00:29:58,0,290,0,290
2025-02-06T01:00:51,0,290,0,290
2025-02-06T01:31:44,0,290,0,290
2025-02-06T02:02:40,0,290,0,290
2025-02-06T02:33:48,0,290,0,290
2025-02-06T03:04:37,0,290,0,290
2025-02-06T03:35:36,0,290,0,290
2025-02-06T04:06:25,0,290,0,290
2025-02-06T04:27:51,0,290,0,290
2025-02-06T04:58:46,0,290,0,290
2025-02-06T05:29:44,0,290,0,290
2025-02-06T06:00:36,0,290,0,290
2025-02-06T06:31:28,0,290,0,290
2025-02-06T07:02:18,0,290,0,290
2025-02-06T07:33:08,0,290,0,290
2025-02-06T08:03:56,0,290,0,290
2025-02-06T08:34:44,0,290,0,290
2025-02-06T09:05:39,0,290,0,290
2025-02-06T09:36:26,0,290,0,290
2025-02-06T10:07:14,0,290,0,290
2025-02-06T10:38:02,0,290,0,290
2025-02-06T11:08:52,0,290,0,290
2025-02-06T11:39:52,0,290,0,290
2025-02-06T12:10:39,0,290,0,290
2025-02-06T12:41:28,0,290,0,290
2025-02-06T13:12:28,0,290,0,290
2025-02-06T13:43:16,0,290,0,290
2025-02-06T14:14:03,0,290,0,290
2025-02-06T14:44:50,0,290,0,290
2025-02-06T15:15:49,0,290,0,290
2025-02-06T15:46:38,0,290,0,290
2025-02-06T16:17:34,0,290,0,290
2025-02-06T16:48:29,0,290,0,290
2025-02-06T17:19:34,0,290,0,290
2025-02-06T17:50:28,0,290,0,290
2025-02-06T18:21:22,0,290,0,290
2025-02-06T18:52:26,0,290,0,290
2025-02-06T19:23:28,0,290,0,290
2025-02-06T19:54:21,0,290,0,290
2025-02-06T20:25:16,0,290,0,290
2025-02-06T20:56:10,0,290,0,290
2025-02-06T21:27:03,0,290,0,290
2025-02-06T21:58:12,0,290,0,290
2025-02-06T22:29:06,0,290,0,290
2025-02-06T23:00:01,0,290,0,290
2025-02-06T23:30:56,0,290,0,290
2025-02-07T00:01:51,0,290,0,290
2025-02-07T00:32:46,0,290,0,290
2025-02-07T01:03:44,0,290,0,290
2025-02-07T01:34:51,0,290,0,290
2025-02-07T02:05:54,0,290,0,290
2025-02-07T02:36:50,0,290,0,290
2025-02-07T03:07:50,0,290,0,290
2025-02-07T03:38:48,0,290,0,290
2025-02-07T04:11:42,0,290,0,290
2025-02-07T04:36:35,0,290,0,290
2025-02-07T05:07:34,0,290,0,290
2025-02-07T05:38:34,0,290,0,290
2025-02-07T06:09:31,0,290,0,290
2025-02-07T06:40:27,0,290,0,290
2025-02-07T07:11:24,0,290,0,290
2025-02-07T07:42:18,0,290,0,290
2025-02-07T08:13:11,0,290,0,290
2025-02-07T08:44:20,0,290,0,290
2025-02-07T09:15:20,0,290,0,290
2025-02-07T09:46:19,0,290,0,290
2025-02-07T10:17:31,0,290,0,290
2025-02-07T10:48:36,0,290,0,290
