time,enrolled,available,waitlisted,total
2025-02-04T18:41:12,0,300,0,300
2025-02-04T19:11:59,0,300,0,300
2025-02-04T19:42:46,0,300,0,300
2025-02-04T20:13:32,0,300,0,300
2025-02-04T20:44:28,0,300,0,300
2025-02-04T21:15:14,0,300,0,300
2025-02-04T21:46:09,0,300,0,300
2025-02-04T22:16:55,0,300,0,300
2025-02-04T22:47:39,0,300,0,300
2025-02-04T23:18:35,0,300,0,300
2025-02-04T23:49:21,0,300,0,300
2025-02-05T00:20:13,0,300,0,300
2025-02-05T00:51:04,0,300,0,300
2025-02-05T01:21:55,0,300,0,300
2025-02-05T01:52:51,0,300,0,300
2025-02-05T02:23:43,0,300,0,300
2025-02-05T02:54:33,0,300,0,300
2025-02-05T03:25:23,0,300,0,300
2025-02-05T03:56:20,0,300,0,300
2025-02-05T04:26:26,0,300,0,300
2025-02-05T04:57:20,0,300,0,300
2025-02-05T05:28:15,0,300,0,300
2025-02-05T05:59:06,0,300,0,300
2025-02-05T06:29:56,0,300,0,300
2025-02-05T07:00:45,0,300,0,300
2025-02-05T07:31:37,0,300,0,300
2025-02-05T08:02:24,0,300,0,300
2025-02-05T08:33:28,0,300,0,300
2025-02-05T09:04:23,0,300,0,300
2025-02-05T09:35:13,0,300,0,300
2025-02-05T10:06:01,0,300,0,300
2025-02-05T10:36:49,0,300,0,300
2025-02-05T11:07:38,0,300,0,300
2025-02-05T11:38:50,0,300,0,300
2025-02-05T12:09:38,0,300,0,300
2025-02-05T12:40:36,0,300,0,300
2025-02-05T13:11:25,0,300,0,300
2025-02-05T13:42:13,0,300,0,300
2025-02-05T14:13:12,0,300,0,300
2025-02-05T14:44:00,0,300,0,300
2025-02-05T15:14:57,0,300,0,300
2025-02-05T15:45:45,0,300,0,300
2025-02-05T16:16:34,0,300,0,300
2025-02-05T16:47:22,0,300,0,300
2025-02-05T17:18:19,0,300,0,300
2025-02-05T17:49:06,0,300,0,300
2025-02-05T18:19:53,0,300,0,300
2025-02-05T18:50:43,0,300,0,300
2025-02-05T19:21:30,0,300,0,300
2025-02-05T19:52:17,0,300,0,300
2025-02-05T20:23:03,0,300,0,300
2025-02-05T20:53:51,0,300,0,300
2025-02-05T21:24:39,0,300,0,300
2025-02-05T21:55:29,0,300,0,300
2025-02-05T22:26:40,0,300,0,300
2025-02-05T22:57:38,0,300,0,300
2025-02-05T23:28:27,0,300,0,300
2025-02-05T23:59:14,0,300,0,300
2025-02-06T00:30:06,0,300,0,300
2025-02-06T01:00:59,0,300,0,300
2025-02-06T01:31:52,0,300,0,300
2025-02-06T02:02:48,0,300,0,300
2025-02-06T02:33:56,0,300,0,300
2025-02-06T03:04:45,0,300,0,300
2025-02-06T03:35:45,0,300,0,300
2025-02-06T04:06:34,0,300,0,300
2025-02-06T04:28:00,0,300,0,300
2025-02-06T04:58:54,0,300,0,300
2025-02-06T05:29:53,0,300,0,300
2025-02-06T06:00:45,0,300,0,300
2025-02-06T06:31:36,0,300,0,300
2025-02-06T07:02:26,0,300,0,300
2025-02-06T07:33:16,0,300,0,300
2025-02-06T08:04:04,0,300,0,300
2025-02-06T08:34:52,0,300,0,300
2025-02-06T09:05:48,0,300,0,300
2025-02-06T09:36:34,0,300,0,300
2025-02-06T10:07:22,0,300,0,300
2025-02-06T10:38:10,0,300,0,300
2025-02-06T11:09:00,0,300,0,300
2025-02-06T11:40:00,0,300,0,300
2025-02-06T12:10:47,0,300,0,300
2025-02-06T12:41:36,0,300,0,300
2025-02-06T13:12:36,0,300,0,300
2025-02-06T13:43:24,0,300,0,300
2025-02-06T14:14:11,0,300,0,300
2025-02-06T14:44:58,0,300,0,300
2025-02-06T15:15:57,0,300,0,300
2025-02-06T15:46:46,0,300,0,300
2025-02-06T16:17:42,0,300,0,300
2025-02-06T16:48:37,0,300,0,300
2025-02-06T17:19:43,0,300,0,300
2025-02-06T17:50:36,0,300,0,300
2025-02-06T18:21:30,0,300,0,300
2025-02-06T18:52:34,0,300,0,300
2025-02-06T19:23:36,0,300,0,300
2025-02-06T19:54:29,0,300,0,300
2025-02-06T20:25:24,0,300,0,300
2025-02-06T20:56:18,0,300,0,300
2025-02-06T21:27:12,0,300,0,300
2025-02-06T21:58:20,0,300,0,300
2025-02-06T22:29:14,0,300,0,300
2025-02-06T23:00:09,0,300,0,300
2025-02-06T23:31:05,0,300,0,300
2025-02-07T00:01:59,0,300,0,300
2025-02-07T00:32:54,0,300,0,300
2025-02-07T01:03:52,0,300,0,300
2025-02-07T01:34:59,0,300,0,300
2025-02-07T02:06:03,0,300,0,300
2025-02-07T02:36:58,0,300,0,300
2025-02-07T03:07:59,0,300,0,300
2025-02-07T03:38:56,0,300,0,300
2025-02-07T04:11:50,0,300,0,300
2025-02-07T04:36:43,0,300,0,300
2025-02-07T05:07:42,0,300,0,300
2025-02-07T05:38:42,0,300,0,300
2025-02-07T06:09:39,0,300,0,300
2025-02-07T06:40:35,0,300,0,300
2025-02-07T07:11:32,0,300,0,300
2025-02-07T07:42:26,0,300,0,300
2025-02-07T08:13:19,0,300,0,300
2025-02-07T08:44:28,0,300,0,300
2025-02-07T09:15:28,0,300,0,300
2025-02-07T09:46:28,0,300,0,300
2025-02-07T10:17:40,0,300,0,300
2025-02-07T10:48:44,0,300,0,300
2025-02-07T11:20:04,0,300,0,300
2025-02-07T11:51:21,0,300,0,300
2025-02-07T12:22:36,0,300,0,300
2025-02-07T12:54:12,0,300,0,300
2025-02-07T13:25:50,0,300,0,300
2025-02-07T13:57:19,0,300,0,300
2025-02-07T14:28:52,0,300,0,300
2025-02-07T15:00:08,0,300,0,300
2025-02-07T15:31:24,0,300,0,300
2025-02-07T16:02:32,0,300,0,300
2025-02-07T16:33:46,0,300,0,300
2025-02-07T17:05:00,0,300,0,300
2025-02-07T17:36:06,0,300,0,300
2025-02-07T18:07:20,0,300,0,300
2025-02-07T18:38:26,0,300,0,300
2025-02-07T19:09:42,0,300,0,300
2025-02-07T19:40:47,0,300,0,300
2025-02-07T20:12:01,0,300,0,300
2025-02-07T20:43:05,0,300,0,300
2025-02-07T21:14:10,0,300,0,300
2025-02-07T21:45:26,0,300,0,300
2025-02-07T22:16:31,0,300,0,300
2025-02-07T22:47:36,0,300,0,300
2025-02-07T23:18:49,0,300,0,300
2025-02-07T23:49:54,0,300,0,300
2025-02-08T00:21:00,0,300,0,300
2025-02-08T00:52:09,0,300,0,300
2025-02-08T01:23:25,0,300,0,300
2025-02-08T01:54:33,0,300,0,300
2025-02-08T02:25:40,0,300,0,300
2025-02-08T02:56:45,0,300,0,300
2025-02-08T03:27:51,0,300,0,300
2025-02-08T03:59:00,0,300,0,300
2025-02-08T04:34:17,0,300,0,300
2025-02-08T05:05:29,0,300,0,300
2025-02-08T05:36:38,0,300,0,300
2025-02-08T06:07:46,0,300,0,300
2025-02-08T06:38:55,0,300,0,300
2025-02-08T07:10:09,0,300,0,300
2025-02-08T07:41:17,0,300,0,300
2025-02-08T08:12:26,0,300,0,300
2025-02-08T08:43:41,0,300,0,300
2025-02-08T09:14:47,0,300,0,300
2025-02-08T09:45:52,0,300,0,300
2025-02-08T10:16:56,0,300,0,300
2025-02-08T10:48:00,0,300,0,300
2025-02-08T11:19:06,0,300,0,300
2025-02-08T11:50:22,0,300,0,300
2025-02-08T12:21:26,0,300,0,300
2025-02-08T12:52:31,0,300,0,300
2025-02-08T13:23:45,0,300,0,300
2025-02-08T13:54:51,0,300,0,300
2025-02-08T14:25:55,0,300,0,300
2025-02-08T14:57:01,0,300,0,300
2025-02-08T15:28:15,0,300,0,300
2025-02-08T15:59:20,0,300,0,300
2025-02-08T16:30:24,0,300,0,300
2025-02-08T17:01:39,0,300,0,300
2025-02-08T17:32:43,0,300,0,300
2025-02-08T18:03:48,0,300,0,300
2025-02-08T18:34:52,0,300,0,300
2025-02-08T19:06:07,0,300,0,300
2025-02-08T19:37:11,0,300,0,300
2025-02-08T20:08:15,0,300,0,300
2025-02-08T20:39:20,0,300,0,300
2025-02-08T21:10:24,0,300,0,300
2025-02-08T21:41:39,0,300,0,300
2025-02-08T22:12:43,0,300,0,300
2025-02-08T22:43:47,0,300,0,300
2025-02-08T23:14:52,0,300,0,300
